location_id,usaf,wban,isd_ids,lon,dist_km,elev_m,utc_offset_hours,begin_verified
116,722541,53914,72254153914|72254199999|99999953914,-96.59,21.87,173.4,-6.0,True
117,722106,12835,72210612835|72210699999|99999912835,-81.861,15.02,3.8,-5.0,True
118,722589,03991,72258903991|72258999999|99999903991,-97.199,49.77,194.6,-6.0,True
119,723230,03856,72323003856|72323099999|99999903856,-86.786,11.65,190.0,-6.0,True
120,723085,13750,72308513750|72308599999|99999913750,-76.289,4.24,5.2,-5.0,True
121,722026,12826,72202612826|72202699999|99999912826,-80.383,43.77,1.5,-5.0,True
122,727850,24157,72785024157|72785099999|99999924157,-117.528,8.68,717.7,-8.0,True
123,742060,24207,74206024207|74206099999|99999924207,-122.483,11.5,98.2,-8.0,True
124,715380,99999,71538099999,-82.956,2.92,189.6,-5.0,True
125,722886,23130,72288623130|72288699999|99999923130,-118.491,22.76,239.2,-8.0,True
126,745090,23244,74509023244|74509099999|99999923244,-122.048,13.63,11.9,-8.0,True
127,715140,99999,71514099999,-104.667,3.78,577.0,-6.0,True
128,722320,13970,72232013970|72232099999|99999913970,-91.147,10.77,20.4,-6.0,False
129,999999,23122,99999923122,-117.25,6.15,335.0,-8.0,False
130,747040,03102,74704003102|74704099999|99999903102,-117.577,12.25,281.6,-8.0,False
131,724926,23258,72492623258|72492699999|99999923258,-120.955,4.45,26.6,-8.0,True
132,725720,24127,72572024127|72572099999|99999924127,-111.965,2.94,1288.4,-7.0,True
133,722866,99999,72286699999,-117.235,19.29,353.3,-8.0,False
134,725107,04780,72510704780|72510799999|99999904780,-71.757,32.02,102.3,-5.0,True
135,714320,99999,71432099999,-79.217,46.89,79.0,-5.0,False
136,726510,14944,72651014944|72651099999|99999914944,-96.754,4.51,432.4,-6.0,True
137,725037,94745,72503794745|72503799999|99999994745,-73.705,18.78,112.9,-5.0,True
138,725460,14933,72546014933|72546099999|99999914933,-93.653,5.57,286.3,-6.0,True
139,716080,99999,71608099999,-123.183,2.0,2.1,-8.0,True
140,722479,53907,72247953907|72247999999|99999953907,-97.095,7.33,179.7,-6.0,True
141,746930,93737,74693093737|74693099999|99999993737,-78.933,6.69,74.4,-5.0,True
142,723403,13963,72340313963|72340399999|99999913963,-92.236,11.2,76.4,-6.0,True
143,725290,14768,72529014768|72529099999|99999914768,-77.675,7.54,164.5,-5.0,True
144,723630,23047,72363023047|72363099999|99999923047,-101.717,10.52,1099.3,-6.0,True
145,722140,93805,72214093805|72214099999|99999993805,-84.351,11.55,17.1,-5.0,True
146,724466,03929,72446603929|72446699999|99999903929,-94.56,12.37,321.9,-6.0,True
147,722255,93842,72225593842|72225599999|99999993842,-84.942,6.32,120.0,-5.0,True
148,716970,99999,71697099999,-78.895,42.76,139.9,-5.0,False
149,723264,99999,72326499999,-83.874,6.81,253.9,-5.0,False
150,722180,03820,72218003820|72218099999|99999903820,-81.964,10.16,40.9,-5.0,True
151,726350,94860,72635094860|72635099999|99999994860,-85.523,13.93,240.3,-5.0,True
152,722784,03184,72278403184|72278499999|99999903184,-112.066,24.81,453.4,-7.0,True
153,722235,13838,72223513838|72223599999|99999913838,-88.063,7.31,4.9,-6.0,True
154,727924,24223,72792424223|72792499999|99999924223,-122.894,58.11,6.1,-8.0,True
155,723927,93110,72392793110|72392799999|99999993110,-119.204,0.33,11.9,-8.0,True
156,722280,13876,72228013876|72228099999|99999913876,-86.745,6.4,187.7,-6.0,True
157,725070,14765,72507014765|72507099999|99999914765,-71.432,11.18,15.4,-5.0,True
158,722265,13821,72226513821|72226599999|99999913821,-86.35,8.66,52.1,-6.0,True
159,723240,13882,72324013882|72324099999|99999913882,-85.2,5.66,204.0,-5.0,True
160,722500,12919,72250012919|72250099999|99999912919,-97.423,10.08,5.7,-6.0,True
161,722976,03166,72297603166|72297699999|99999903166,-117.986,19.42,26.3,-8.0,True
162,722749,53128,72274953128|72274999999|99999953128,-111.813,17.27,378.9,-7.0,True
163,724303,14813,72430314813|72430399999|99999914813,-81.463,6.88,318.1,-5.0,True
164,746710,13806,74671013806|74671099999|99999913806,-87.483,16.62,174.7,-6.0,True
165,747830,12849,74783012849|74783099999|99999912849,-80.162,7.09,1.0,-5.0,False
166,722880,23152,72288023152|72288099999|99999923152,-118.365,11.15,222.7,-8.0,True
167,722899,03179,72289903179|72289999999|99999903179,-117.625,7.01,193.9,-8.0,True
168,712625,99999,71262599999,-79.172,57.83,97.8,-5.0,True
169,724836,23208,72483623208|72483699999|99999923208,-121.4,28.09,23.5,-8.0,True
170,722201,03723,72220103723|72220199999|99999903723,-79.101,33.46,75.3,-5.0,False
171,723086,93741,72308693741|72308699999|99999993741,-76.494,6.69,10.9,-5.0,True
172,726940,24232,72694024232|72694099999|99999924232,-123.001,2.72,63.4,-8.0,True
173,725300,94846,72530094846|72530099999|99999994846,-87.932,36.84,204.8,-6.0,True
174,724957,23213,72495723213|72495799999|99999923213,-122.811,11.19,36.2,-8.0,True
175,726930,24221,72693024221|72693099999|99999924221,-123.216,11.48,109.0,-8.0,True
176,720329,99999,72032999999,-117.688,11.41,438.6,-8.0,False
